company,one_donation,size,state,type
32BJ SEIU,1,500.0,New York,other
AFIP,1,10.0,underdeveloped,fin
ALL IN ,0,10.0,California,food
AT&T Foundry,0,50.0,California,comm
Acxiom,0,5000.0,New York,bus
"Adams & Company Real Estate, LLC",0,200.0,New York,fin
"Addepar, Inc.",0,500.0,New York,fin
Adore Me,1,200.0,New York,sale
Aera Technology Inc.,0,200.0,California,applied
Airbnb,0,5000.0,New York,sale
Amazon,1,10001.0,underdeveloped,sale
Aramark SF,0,10001.0,California,food
Audentes Therapeutics,0,200.0,California,edu-health
"Avametric, suite 1001",0,50.0,California,sale
Aviat Networks,1,1000.0,California,comm
BCG Digital Ventures,0,500.0,California,fin
BGB Group,0,500.0,New York,bus
BarkBox,0,200.0,New York,sale
Bash Creative,0,10.0,California,other
BentoBox,0,50.0,New York,web
Better Mortgage,0,200.0,New York,fin
BetterCloud,1,200.0,New York,web
Big Health,0,200.0,California,edu-health
Bird Brain Productions,1,50.0,California,comm
"Bird Rides, Inc.",0,50.0,California,other
Bird.co,0,50.0,California,soft
Blockchain,1,200.0,New York,soft
BloomReach Mt.View,1,500.0,California,web
Bonsai Berkeley,1,50.0,California,applied
Boomerang Commerce Mtn.View Ste100,0,200.0,California,applied
Bounce exchange ,1,500.0,New York,bus
Boxed,1,200.0,New York,food
Braze SF Office,0,200.0,California,comm
Bulger Partners,0,50.0,underdeveloped,bus
CA VENTURES suite 2100,0,500.0,underdeveloped,fin
CYNGN Palo Alto,0,50.0,California,applied
Cadre (5th Fl),1,200.0,New York,fin
Cafe Blue Door,0,10.0,California,food
Calm,1,50.0,California,edu-health
Campaign Monitor,1,200.0,California,bus
Capgemini,1,10001.0,California,bus
Captricity,0,200.0,California,applied
Castlight Health,0,1000.0,California,edu-health
Catchpoint,1,200.0,New York,applied
Cater2.me,1,200.0,California,food
Century Pacific North America Enterprise Inc.,1,10000.0,California,food
Chapter Three,0,50.0,California,web
Chugh LLP,0,500.0,California,bus
CircleCI,0,200.0,California,comm
Climb Credit NYC Ste. 701,1,50.0,New York,fin
Codecademy,0,200.0,New York,edu-health
Compass Headquarters,0,500.0,New York,fin
Computer History Museum,1,50.0,California,edu-health
Cookie DO. Inc.,0,10.0,New York,food
Cosmo Street Editorial ,1,200.0,California,applied
CrowdStar,1,200.0,California,comm
Crunchbase,0,50.0,California,web
Curiodysse,1,50.0,California,edu-health
Daily Harvest,0,50.0,New York,food
Darylynn Eyewear,1,10.0,New York,sale
Datadog,0,1000.0,New York,other
Dataminr,0,500.0,New York,applied
Demos,0,50.0,New York,other
Devil's Canyon Brewing Company,0,10.0,California,food
DigitalOcean,1,500.0,New York,web
Dishcraft Robotics,0,50.0,California,applied
Dolby Laboratories / Epicurean Group,0,5000.0,California,applied
DoorDash,0,500.0,California,food
Drama Fever/WB Digital New York Office,0,200.0,New York,comm
Driver,0,200.0,California,edu-health
Drone Deploy,0,200.0,California,soft
Dropbox,0,5000.0,New York,web
EAT Club,0,1000.0,California,food
Eatsa,1,200.0,California,food
Edelman,1,10000.0,California,bus
Ellevate Network,1,10.0,New York,edu-health
Engel Institute & Dental Center ,1,50.0,underdeveloped,other
Fare Resources,0,50.0,California,food
Farmhill,1,200.0,California,food
"Fauna, Inc",1,50.0,California,web
Fearless Cafe,0,10.0,California,food
First Round Capital,0,50.0,New York,fin
Flexport NYC,0,1000.0,New York,fin
Fluent LLC,1,10.0,New York,other
Formation SF HQ,1,200.0,California,applied
Fossil Group,0,10001.0,California,bus
Fullscreen Media,0,1000.0,New York,comm
Fungible Inc,0,50.0,California,soft
GREE,0,5000.0,California,comm
GTB,1,5000.0,underdeveloped,bus
Genius,0,50.0,New York,comm
Genius Media,0,50.0,New York,comm
GetGo,1,5000.0,California,comm
Ginger.io SF HQ,0,50.0,California,edu-health
Giphy,0,200.0,New York,comm
Gizmodo Media,0,200.0,New York,bus
Global Gourmet Catering,0,1000.0,California,food
Global Logistic Properties ,1,5000.0,underdeveloped,fin
Glossier HQ,0,200.0,New York,sale
GoDaddy,0,10000.0,California,web
GoFundMe,0,500.0,California,other
Greylock Partners,0,200.0,California,fin
Growers Refrigeration,0,10.0,California,sale
HEM Distributor Inc,0,10.0,California,sale
HVF Inc,1,50.0,California,applied
Habit.com,0,10.0,California,web
Harry's,0,1000.0,New York,food
Headspace (HQ),0,200.0,California,edu-health
Healthline SF Office,1,500.0,California,edu-health
HighFive,1,200.0,California,comm
Homegrown Events,1,10.0,California,food
HouseCanary,0,200.0,California,fin
Houzz,0,5000.0,California,soft
Hygge,1,10.0,underdeveloped,fin
Imgur,0,200.0,California,comm
Impact,0,50.0,New York,applied
Indeed,0,10000.0,New York,web
"Index Exchange, Inc",1,500.0,New York,bus
"Innovative Baking, LLC",1,50.0,underdeveloped,food
Innovid,1,500.0,New York,bus
Intermedia Lab,0,50.0,New York,soft
Invoice2go,1,200.0,California,soft
Kaiser Permanente,1,10001.0,underdeveloped,edu-health
Kitty Hawk,0,500.0,California,applied
Kony,1,5000.0,underdeveloped,web
LaSalle Capital,1,50.0,underdeveloped,fin
Laserlike,0,50.0,California,soft
LeadGenius,1,50.0,California,applied
Lever,0,200.0,California,soft
Livongo,0,200.0,underdeveloped,edu-health
Loan Depot office,1,10000.0,California,fin
MKTG,0,1000.0,California,bus
Mapbox,1,500.0,California,applied
Mark43,0,200.0,New York,soft
MeUndies HQ,0,200.0,California,sale
"Mekanism, 35th Floor",1,200.0,New York,bus
Metromile,0,200.0,California,fin
Mintigo,0,200.0,California,bus
"Moogsoft, Inc.",0,200.0,California,applied
Motion Industries ,1,10000.0,underdeveloped,applied
MuleSoft,0,5000.0,California,web
New Mountain Capital,0,200.0,New York,fin
Norwest Venture Partners,0,200.0,California,fin
OR360,1,50.0,California,edu-health
Octopart Inc,1,50.0,New York,applied
OkCupid,0,50.0,New York,comm
Omada Health,0,500.0,California,edu-health
Open Sky,1,200.0,New York,sale
OpenDNS,0,1000.0,California,soft
Opendoor,0,1000.0,California,fin
Opterra Energy Services,1,500.0,California,applied
Oscar Insurance,0,1000.0,New York,edu-health
Outbrain,0,1000.0,New York,bus
OvaNove,1,10.0,California,applied
PCH,0,1000.0,California,other
"PYE, INC.",1,10.0,California,other
Pagerduty,0,500.0,California,bus
Paypal,1,10001.0,California,other
Peppercomm NYC,1,200.0,New York,comm
Pierry Inc.,0,200.0,California,bus
Platterz,1,200.0,New York,food
Plethora,0,200.0,California,applied
Poppy's Catering,0,50.0,New York,food
Postmates,0,500.0,California,food
Project Homeless Connect,1,50.0,California,other
PulsePoint,0,200.0,New York,bus
Quotient,0,200.0,California,web
Rad Urban / Nautilus Group,0,200.0,California,applied
Rapid7,1,5000.0,underdeveloped,web
Ready Pac Foods,1,5000.0,New York,food
Reelio 121 E 24th St,1,50.0,New York,bus
Ripe,0,50.0,New York,food
Rubicon Project,0,1000.0,New York,bus
Rubicon Project NYC,0,1000.0,New York,bus
SEVENROOMS,1,50.0,New York,comm
SFO,0,5000.0,California,other
STUBHUB,1,5000.0,California,sale
SaaStr CSS,1,10.0,California,comm
Samsara,0,500.0,California,applied
Savory,1,200.0,New York,food
"Say Say K, Inc",0,50.0,California,edu-health
Scott & Scott,0,10.0,New York,bus
Scribd,0,200.0,California,web
Seat Release,0,50.0,New York,other
SeatGeek,0,200.0,New York,sale
Shotwell Location,0,50.0,California,sale
Shutterstock,0,5000.0,New York,sale
Simply Good Jars,1,50.0,underdeveloped,food
Slack,0,5000.0,New York,comm
Smartbiz,0,200.0,California,bus
SoundCloud,1,500.0,New York,soft
Spotify,1,5000.0,New York,comm
Sprout Social,0,500.0,underdeveloped,bus
Staten Island Academy,1,200.0,New York,edu-health
Stella Service ,0,200.0,New York,soft
Stella.ai,1,50.0,California,applied
Stripes Group,0,50.0,New York,fin
Stupski Foundation,1,10.0,California,food
SugarCRM,0,1000.0,California,other
Symantec,1,10001.0,California,web
T Rowe Price,0,10000.0,New York,other
T. Rowe Price ,0,10000.0,New York,fin
Takt,0,10.0,California,soft
Teachable,0,200.0,New York,edu-health
TechValidate Software,0,200.0,California,bus
The Line,1,50.0,New York,sale
The Town Kitchen,0,10.0,California,food
The Woo,0,50.0,California,bus
Thoma Bravo,0,50.0,underdeveloped,fin
Toast Inc.,1,1000.0,underdeveloped,food
Trello 25th Floor,0,200.0,New York,applied
TrueCar,0,1000.0,California,soft
Tumblr NYC Office,0,500.0,New York,comm
Twitch,0,1000.0,California,comm
Twitter NYC,1,5000.0,New York,comm
Udacity,1,200.0,California,applied
UpStart,1,200.0,California,fin
UserVoice,1,200.0,California,web
Venice Office,0,10.0,California,bus
Vita coco,0,500.0,California,food
Vungle SF,0,200.0,California,bus
Walmart,0,10001.0,underdeveloped,sale
WeWork,0,5000.0,California,fin
White Ops ,0,200.0,New York,soft
Yahoo NYC,0,10001.0,New York,comm
YieldMo,0,200.0,New York,bus
Yipitdata,1,200.0,New York,applied
ZMC,0,50.0,New York,web
ZYMERGEN,0,500.0,California,applied
ZeroCater,0,200.0,New York,food
Zesty SF,0,200.0,California,food
Zillow NYC,0,5000.0,New York,fin
Zinc,1,50.0,California,comm
Zoox,0,500.0,California,applied
Zymergen Office,1,500.0,California,applied
drive.ai,0,200.0,California,applied
fresh approach,0,50.0,California,food
illy,0,10.0,California,other
la brea,0,500.0,California,food
schoola,1,50.0,California,edu-health
sweetgreen,0,5000.0,California,food
"thoughtbot, inc",0,200.0,California,applied
